S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	1	1	1	3	0	
0	2	1	2	2	0	0	
0	3	2	1	3	0	0	
0	0	0	0	0	1	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	6	4	4	6	5	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	1	1	0	0	
0	0	0	0	0	1	0	
0	0	1	1	0	0	0	
0	2	2	1	0	1	0	
0	2	3	2	1	0	0	
0	1	2	0	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	5	9	5	2	2	0	

S	M	T	W	R	F	S
0	0	0	0	0	1	0	
0	0	0	0	0	0	0	
0	3	0	0	0	0	0	
0	1	0	0	1	0	0	
0	0	1	1	0	1	0	
0	1	1	0	1	0	0	
0	2	1	2	4	1	0	
0	2	4	0	2	1	0	
0	0	1	2	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	9	8	5	8	4	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	2	0	0	0	
0	2	1	0	0	2	0	
0	2	0	0	2	0	0	
0	2	1	0	0	0	0	
0	1	1	3	0	0	0	
0	0	1	0	0	1	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	7	5	5	2	3	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	1	0	0	0	
0	2	0	1	1	0	0	
0	1	1	1	1	0	0	
0	0	3	0	1	0	0	
0	0	2	1	1	1	0	
0	0	0	0	1	0	0	
0	0	0	0	2	1	0	
0	0	0	0	1	1	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	3	6	4	8	3	0	

S	M	T	W	R	F	S
0	1	0	0	0	0	0	
0	2	3	1	3	0	0	
0	1	0	3	1	0	0	
0	4	1	3	0	0	0	
0	0	1	1	0	0	0	
0	1	1	2	0	0	0	
0	0	0	0	0	0	0	
0	0	1	3	1	0	0	
0	2	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	11	7	14	5	0	0	

S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	0	0	3	2	0	0	
0	0	1	0	1	1	0	
0	0	1	2	3	0	0	
0	0	4	1	1	0	0	
0	0	2	1	1	0	0	
0	0	2	2	1	1	0	
0	0	3	3	3	0	0	
0	0	0	0	0	1	0	
0	0	0	0	0	1	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	14	12	12	4	0	

S	M	T	W	R	F	S
0	1	2	0	0	0	0	
0	2	2	1	6	0	0	
0	3	1	2	1	0	0	
0	2	3	2	2	1	0	
0	4	5	3	12	1	0	
0	4	3	0	5	0	0	
0	4	0	1	0	0	0	
0	0	1	0	0	2	0	
0	0	2	2	0	0	0	
0	1	0	2	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	21	19	13	26	4	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	1	5	0	2	0	0	
0	2	6	0	0	2	0	
0	13	4	4	3	0	0	
0	2	1	7	4	2	0	
0	3	3	0	4	1	0	
0	2	3	3	3	0	0	
0	3	9	2	0	0	0	
0	0	0	0	0	1	0	
0	1	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	27	31	17	16	6	0	

S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	0	3	1	3	1	0	
